date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
05-09-19,2019,0,0,CHI,GB,1588.897931,1455.13137,0.758448519,3,10,0
08-09-19,2019,0,0,PHI,WSH,1581.513559,1441.021792,0.765469854,32,27,1
08-09-19,2019,0,0,CLE,TEN,1455.886401,1518.907204,0.502848264,13,43,0
08-09-19,2019,0,0,JAX,KC,1455.249073,1602.077427,0.384369676,26,40,0
08-09-19,2019,0,0,NYJ,BUF,1384.966442,1448.423682,0.502220197,16,17,0
08-09-19,2019,0,0,CAR,LAR,1519.378772,1598.015666,0.480385004,27,30,0
08-09-19,2019,0,0,MIA,BAL,1415.178762,1570.539249,0.372815575,10,59,0
08-09-19,2019,0,0,MIN,ATL,1538.423954,1520.315825,0.617372078,28,12,1
08-09-19,2019,0,0,LAC,IND,1585.751918,1561.074565,0.626264467,30,24,1
08-09-19,2019,0,0,SEA,CIN,1565.411649,1428.533515,0.761714804,21,20,1
08-09-19,2019,0,0,DAL,NYG,1546.637605,1442.725536,0.725584874,35,17,1
08-09-19,2019,0,0,ARI,DET,1383.740422,1490.519409,0.440163339,27,27,0.5
08-09-19,2019,0,0,TB,SF,1444.772669,1422.631825,0.622840671,17,31,0
08-09-19,2019,0,0,NE,PIT,1640.856488,1572.19322,0.683397064,33,3,1
09-09-19,2019,0,0,NO,HOU,1610.936603,1515.388531,0.715894873,30,28,1
09-09-19,2019,0,0,OAK,DEN,1405.440618,1449.164195,0.530581016,24,16,1
12-09-19,2019,0,0,CAR,TB,1506.141723,1409.647711,0.717001079,14,20,0
15-09-19,2019,0,0,DET,LAC,1488.694482,1599.72736,0.434138302,13,10,1
15-09-19,2019,0,0,HOU,JAX,1509.57067,1435.177771,0.690489773,13,12,1
15-09-19,2019,0,0,BAL,ARI,1598.55771,1385.565349,0.832053696,23,17,1
15-09-19,2019,0,0,GB,MIN,1489.807271,1559.316056,0.4935117,21,16,1
15-09-19,2019,0,0,MIA,NE,1387.160301,1661.355272,0.23072481,0,43,0
15-09-19,2019,0,0,NYG,BUF,1427.717829,1455.390818,0.553512159,14,28,0
15-09-19,2019,0,0,PIT,SEA,1551.694436,1568.437337,0.569004376,26,28,0
15-09-19,2019,0,0,CIN,SF,1425.507827,1457.756782,0.546993431,17,41,0
15-09-19,2019,0,0,TEN,IND,1553.473791,1547.099123,0.601295419,17,19,0
15-09-19,2019,0,0,WSH,DAL,1433.335317,1561.645312,0.4098848,21,31,0
15-09-19,2019,0,0,OAK,KC,1425.871408,1622.148729,0.319582091,10,28,0
15-09-19,2019,0,0,LAR,NO,1611.252716,1616.754464,0.584797545,27,9,1
15-09-19,2019,0,0,DEN,CHI,1428.733404,1554.222031,0.413818857,14,16,0
15-09-19,2019,0,0,ATL,PHI,1499.423723,1589.200034,0.464404341,24,20,1
16-09-19,2019,0,0,NYJ,CLE,1377.999306,1421.319814,0.531158868,3,23,0
19-09-19,2019,0,0,JAX,TEN,1431.142712,1539.818977,0.437473825,20,7,1
22-09-19,2019,0,0,IND,ATL,1560.753937,1516.860251,0.651773152,27,24,1
22-09-19,2019,0,0,GB,DEN,1507.994649,1419.884182,0.70710701,27,16,1
22-09-19,2019,0,0,KC,BAL,1639.90876,1604.360622,0.64079161,33,28,1
22-09-19,2019,0,0,MIN,OAK,1541.128678,1408.111377,0.757657462,34,14,1
22-09-19,2019,0,0,NE,NYJ,1677.301131,1345.334919,0.907637264,30,14,1
22-09-19,2019,0,0,DAL,MIA,1580.752671,1371.214442,0.829256783,31,6,1
22-09-19,2019,0,0,PHI,DET,1571.763505,1504.718793,0.681377716,24,27,0
22-09-19,2019,0,0,BUF,CIN,1485.887015,1389.7616,0.716570343,21,17,1
22-09-19,2019,0,0,TB,NYG,1439.76274,1397.221631,0.650003908,31,32,0
22-09-19,2019,0,0,ARI,CAR,1379.762438,1476.026695,0.455128168,20,38,0
22-09-19,2019,0,0,SEA,NO,1581.22003,1592.947548,0.576070054,27,33,0
22-09-19,2019,0,0,SF,PIT,1493.503009,1538.911743,0.528164254,24,20,1
22-09-19,2019,0,0,LAC,HOU,1583.703049,1513.60573,0.685180465,20,27,0
22-09-19,2019,0,0,CLE,LAR,1453.984201,1635.059632,0.338903617,13,20,0
23-09-19,2019,0,0,WSH,CHI,1414.227959,1563.071253,0.381628733,15,31,0
26-09-19,2019,0,0,GB,PHI,1521.603749,1551.665409,0.55011151,27,34,0
29-09-19,2019,0,0,HOU,CAR,1543.96594,1502.453091,0.648656118,10,16,0
29-09-19,2019,0,0,MIA,LAC,1361.322856,1553.342839,0.324934566,10,30,0
29-09-19,2019,0,0,DET,KC,1524.816889,1652.218462,0.411150253,30,34,0
29-09-19,2019,0,0,ATL,TEN,1507.660704,1509.526814,0.589869974,10,24,0
29-09-19,2019,0,0,BAL,CLE,1592.05092,1440.595979,0.776609242,25,40,0
29-09-19,2019,0,0,IND,OAK,1569.953484,1394.573542,0.799590697,24,31,0
29-09-19,2019,0,0,NYG,WSH,1406.695714,1393.397122,0.610811103,24,3,1
29-09-19,2019,0,0,BUF,NE,1494.387685,1681.734792,0.330862529,10,16,0
29-09-19,2019,0,0,ARI,SEA,1353.336042,1558.244061,0.308876866,10,27,0
29-09-19,2019,0,0,LAR,TB,1648.447853,1430.288657,0.836169003,40,55,0
29-09-19,2019,0,0,DEN,JAX,1406.275082,1461.434874,0.514157413,24,26,0
29-09-19,2019,0,0,CHI,MIN,1583.90209,1554.666512,0.632385325,16,6,1
29-09-19,2019,0,0,NO,DAL,1615.923517,1590.644257,0.627075088,12,10,1
30-09-19,2019,0,0,PIT,CIN,1523.857992,1381.26093,0.767638532,27,3,1
03-10-19,2019,0,0,SEA,LAR,1575.03183,1595.231373,0.564118068,30,29,1
06-10-19,2019,0,0,PIT,BAL,1537.527006,1544.287148,0.583037586,23,26,0
06-10-19,2019,0,0,CIN,ARI,1367.591915,1336.548273,0.634801578,23,26,0
06-10-19,2019,0,0,CAR,JAX,1528.982017,1472.782824,0.667672896,34,27,1
06-10-19,2019,0,0,HOU,ATL,1517.437013,1474.768849,0.650170279,53,32,1
06-10-19,2019,0,0,WSH,NE,1370.164006,1693.932996,0.183982667,7,33,0
06-10-19,2019,0,0,TEN,BUF,1542.418669,1482.18948,0.672800144,7,14,0
